uniprot,entrez,symbol
A0A3B3IT40,NA,SGK2
A0A3B3IT41,NA,RHCG
A0A3B3IT42,NA,CDC25C
A0A3B3IT43,NA,SEMA5B
A0A3B3IT45,NA,OR51C1P
A0A3B3IT46,NA,IFT74
A0A3B3IT47,NA,WDR37
A0A3B3IT49,NA,MSL3
A0A3B3IT51,NA,KDM5B
A0A3B3IT53,NA,EIF2B5
A0A3B3IT54,NA,C8orf33
A0A3B3IT55,NA,KANSL1
A0A3B3IT56,NA,SORBS1
A0A3B3IT57,NA,NDUFB9
A0A3B3IT58,NA,DHCR24
A0A3B3IT59,NA,MSL3
A0A3B3IT60,NA,LPL
A0A3B3IT61,NA,CSRP3
A0A3B3IT62,NA,ZC3H14
A0A3B3IT63,NA,KAT6B
A0A3B3IT64,NA,LRP2
A0A3B3IT65,NA,LMBRD1
A0A3B3IT67,NA,SLC18B1
A0A3B3IT71,NA,BMPER
A0A3B3IT72,NA,HM13
A0A3B3IT75,NA,L3MBTL1
A0A3B3IT76,NA,TWNK
A0A3B3IT77,NA,SLC25A38
A0A3B3IT79,NA,WRB
A0A3B3IT80,NA,COL4A2
A0A3B3IT82,NA,BLM
A0A3B3IT83,NA,TJP2
A0A3B3IT84,NA,HDAC8
A0A3B3IT85,NA,KDM5B
A0A3B3IT87,NA,TCP10
A0A3B3IT88,NA,VPS13C
A0A3B3IT89,NA,DARS2
A0A3B3IT90,NA,WDR27
A0A3B3IT92,NA,MCM4
A0A3B3IT94,NA,SAMD8
A0A3B3IT95,NA,HDAC8
A0A3B3IT96,NA,ADA2
A0A3B3IT97,NA,CFTR
A0A3B3IT98,NA,HDAC8
A0A3B3IT99,NA,CYP2J2
A0A3B3ITA0,NA,OR4F4
A0A3B3ITA2,NA,CLIP1
A0A3B3ITA3,NA,C8orf33
A0A3B3ITA4,NA,KAT6B
A0A3B3ITA5,NA,CDC14C
A0A3B3ITA6,NA,CA5A
A0A3B3ITA7,NA,CHEK2
A0A3B3ITA9,NA,KDM5B
A0A3B3ITB1,NA,FPGT-TNNI3K
A0A3B3ITB2,NA,NHS
A0A3B3ITB4,NA,RIT2
A0A3B3ITB5,NA,ADAM17
A0A3B3ITB6,NA,BMPER
A0A3B3ITB8,NA,CTPS1
A0A3B3ITB9,NA,ENAM
A0A3B3ITC0,NA,SLC22A13
A0A3B3ITC1,NA,MOGS
A0A3B3ITC2,NA,SNTB1
A0A3B3ITC3,NA,KAT6B
A0A3B3ITC5,NA,EPB41
A0A3B3ITC6,NA,DVL3
A0A3B3ITC7,NA,DAB2IP
A0A3B3ITC8,NA,COL4A1
A0A3B3ITC9,NA,WNT2
A0A3B3ITD0,NA,AGK
A0A3B3ITD1,NA,DLG4
A0A3B3ITD2,NA,MACO1
A0A3B3ITD3,NA,BMPER
A0A3B3ITD4,NA,VPS35
A0A3B3ITD5,NA,PARP14
A0A3B3ITD6,NA,ALG6
A0A3B3ITD8,NA,NUP98
A0A3B3ITE0,NA,CFTR
A0A3B3ITE1,NA,TJP2
A0A3B3ITE2,NA,ZNF385C
A0A3B3ITE3,NA,TUBGCP3
A0A3B3ITE4,NA,ZNF23
A0A3B3ITE7,NA,KDM5B
A0A3B3ITE8,NA,PCOLCE2
A0A3B3ITE9,NA,JAGN1
A0A3B3ITF0,NA,DCPS
A0A3B3ITF1,NA,DLG2
A0A3B3ITF2,NA,CYP2J2
A0A3B3ITF3,NA,MSL3
A0A3B3ITF4,NA,DLG2
A0A3B3ITF5,NA,WDR27
A0A3B3ITF6,NA,CTPS1
A0A3B3ITF7,NA,KIF1A
A0A3B3ITF8,NA,MSL3
A0A3B3ITF9,NA,GADD45A
A0A3B3ITG1,NA,LAMA3
A0A3B3ITG2,NA,KRT12
A0A3B3ITG3,NA,DAB2IP
A0A3B3ITG4,NA,GNAI1
A0A3B3ITG5,NA,L3MBTL1
A0A3B3ITG6,NA,EIF2B5
A0A3B3ITG7,NA,COL4A1
A0A3B3ITG8,NA,ABCC2
A0A3B3ITG9,NA,ADAR
A0A3B3ITH0,NA,KCNH3
A0A3B3ITH1,NA,SLC50A1
A0A3B3ITH3,NA,IMPACT
A0A3B3ITH4,NA,ZNF600
A0A3B3ITH5,NA,MSL3
A0A3B3ITH6,NA,ZIM2
A0A3B3ITH9,NA,CTPS1
A0A3B3ITI0,NA,KAT6B
A0A3B3ITI3,NA,KAT6A
A0A3B3ITI4,NA,HSPA9
A0A3B3ITI5,NA,ALG6
A0A3B3ITI7,NA,COPA
A0A3B3ITI9,NA,DLG4
A0A3B3ITJ0,NA,CAT
A0A3B3ITJ1,NA,AP5Z1
A0A3B3ITJ3,NA,KDM5B
A0A3B3ITJ4,NA,HNRNPL
A0A3B3ITJ5,NA,ERI3
A0A3B3ITJ6,NA,PEG3
A0A3B3ITJ7,NA,KDM5B
A0A3B3ITJ8,NA,MYT1L
A0A3B3ITK0,NA,THBS2
A0A3B3ITK2,NA,TRIT1
A0A3B3ITK3,NA,KIF1A
A0A3B3ITK4,NA,PRMT6
A0A3B3ITK5,NA,C8G
A0A3B3ITK7,NA,PGM1
A0A3B3ITK8,NA,EIF2B5
A0A3B3ITK9,NA,DARS2
A0A3B3ITL1,NA,RAB2B
A0A3B3ITL2,NA,CCSER1
A0A3B3ITL3,NA,MYT1L
A0A3B3ITL4,NA,ABCC12
A0A3B3ITL5,NA,MSL3
A0A3B3ITL6,NA,ALG6
A0A3B3ITL7,NA,RBFOX3
A0A3B3ITL8,NA,SORBS2
A0A3B3ITL9,NA,SLC18B1
A0A3B3ITM0,NA,GNAI1
A0A3B3ITM1,NA,ITPR1
A0A3B3ITM2,NA,COL17A1
A0A3B3ITM3,NA,ST8SIA6
A0A3B3ITM4,NA,LMBRD1
A0A3B3ITM6,NA,ITPR1
A0A3B3ITM9,NA,HTT
A0A3B3ITN0,NA,PRUNE1
A0A3B3ITN1,NA,HSPA9
A0A3B3ITN2,NA,LRP8
A0A3B3ITN3,NA,KDM5B
A0A3B3ITN6,NA,PEX10
A0A3B3ITN7,NA,COL4A2
A0A3B3ITN8,NA,GPRC5A
A0A3B3ITN9,NA,FANCC
A0A3B3ITP0,NA,EPB41
A0A3B3ITP1,NA,FNDC5
A0A3B3ITP2,NA,LMBRD1
A0A3B3ITP3,NA,KAT6B
A0A3B3ITP4,NA,MMAA
A0A3B3ITP5,NA,COL17A1
A0A3B3ITP6,NA,MCM4
A0A3B3ITP9,NA,ITM2B
A0A3B3ITQ0,NA,DCLRE1B
A0A3B3ITQ1,NA,ITPR1
A0A3B3ITQ2,NA,EIF2B5
A0A3B3ITQ4,NA,ITPR1
A0A3B3ITQ5,NA,IRF7
A0A3B3ITQ6,NA,NEK5
A0A3B3ITQ7,NA,LMTK3
A0A3B3ITQ8,NA,COL4A2
A0A3B3ITQ9,NA,CARD14
A0A3B3ITR0,NA,KCNK9
A0A3B3ITR1,NA,KDM5B
A0A3B3ITR2,NA,ZDBF2
A0A3B3ITR3,NA,KDM5B
A0A3B3ITR5,NA,SLC35D2
A0A3B3ITR6,NA,FARS2
A0A3B3ITR7,NA,LMBRD1
A0A3B3ITR9,NA,INPP5F
A0A3B3ITS2,NA,PPFIA1
A0A3B3ITS6,NA,MYT1L
A0A3B3ITS9,NA,COL4A1
A0A3B3ITT0,NA,KMT2A
A0A3B3ITT1,NA,RAB12
A0A3B3ITT2,NA,MYT1L
A0A3B3ITT3,NA,MGLL
A0A3B3ITT4,NA,HSD17B3
A0A3B3ITT5,NA,RPL29
A0A3B3ITT7,NA,KMT2A
A0A3B3ITT8,NA,PDE10A
A0A3B3ITT9,NA,DHCR24
A0A3B3ITU0,NA,BMPER
A0A3B3ITU1,NA,EFL1
A0A3B3ITU2,NA,ZNF676
A0A3B3ITU3,NA,C1orf21
A0A3B3ITU4,NA,C1R
A0A3B3ITU5,NA,ANKS1A
A0A3B3ITU6,NA,MOGS
A0A3B3ITU7,NA,FANCE
A0A3B3ITU9,NA,CA5A
A0A3B3ITV0,NA,AGK
A0A3B3ITV1,NA,LEPROT
A0A3B3ITV2,NA,HDAC8
A0A3B3ITV3,NA,COPA
A0A3B3ITV5,NA,KAT6B
A0A3B3ITV6,NA,MS4A4A
A0A3B3ITV8,NA,MSL3
A0A3B3ITV9,NA,ABCB11
A0A3B3ITW0,NA,CFTR
A0A3B3ITW1,NA,GSK3B
A0A3B3ITW2,NA,HSD17B3
A0A3B3ITW3,NA,ABCD3
A0A3B3ITW4,NA,KIF1A
A0A3B3ITW5,NA,CFTR
A0A3B3ITW6,NA,KIF1A
A0A3B3ITW8,NA,MRM2
A0A3B3ITW9,NA,ADAM17
A0A3B3ITX0,NA,COX7B
A0A3B3ITX1,NA,BMPER
A0A3B3ITX2,NA,COPA
A0A3B3ITX3,NA,GNAI1
A0A3B3ITX5,NA,MSL3
A0A3B3ITX6,NA,ZDBF2
A0A3B3ITX7,NA,AGK
A0A3B3ITY0,NA,C8G
A0A3B3ITY2,NA,GAN
A0A3B3ITY4,NA,BMPER
A0A3B3ITY6,NA,CLSTN1
A0A3B3ITY8,NA,TAF11
A0A3B3ITY9,NA,ZNF600
A0A3B3ITZ0,NA,ALDOB
A0A3B3ITZ2,NA,INSL6
A0A3B3ITZ3,NA,HDAC8
A0A3B3ITZ4,NA,FOXP1
A0A3B3ITZ5,NA,ZDBF2
A0A3B3ITZ6,NA,KMT2A
A0A3B3ITZ7,NA,PROS1
A0A3B3ITZ8,NA,BMPER
A0A3B3ITZ9,NA,THRAP3
A0A3B3IU00,NA,COBL
A0A3B3IU01,NA,HDAC8
A0A3B3IU02,NA,COL4A1
A0A3B3IU03,NA,FAM167A
A0A3B3IU04,NA,ITPR1
A0A3B3IU05,NA,ITPR1
A0A3B3IU06,NA,EPB41
A0A3B3IU08,NA,FOXP1
A0A3B3IU09,NA,GAD2
A0A3B3IU10,NA,INPP5F
A0A3B3IU12,NA,KCNK9
A0A3B3IU13,NA,ITPR1
A0A3B3IU14,NA,ENPP1
A0A3B3IU15,NA,FOXP1
A0A3B3IU16,NA,BET1
A0A3B3IU18,NA,MCFD2
A0A3B3IU19,NA,DLG4
A0A3B3IU21,NA,HDAC8
A0A3B3IU22,NA,ZNF620
A0A3B3IU24,NA,HTRA1
A0A3B3IU25,NA,HTT
A0A3B3IU26,NA,TJP2
A0A3B3IU28,NA,SH3BP1
A0A3B3IU29,NA,TMEM87B
A0A3B3IU30,NA,MYO1G
A0A3B3IU34,NA,HMBS
A0A3B3IU35,NA,ERI3
A0A3B3IU36,NA,BEND7
A0A3B3IU37,NA,MUC15
A0A3B3IU41,NA,PTPRN2
A0A3B3IU42,NA,GEMIN2
A0A3B3IU43,NA,RHD
A0A3B3IU44,NA,HTT
A0A3B3IU45,NA,MCM4
A0A3B3IU46,NA,RAMACL
A0A3B3IU48,NA,MDGA1
A0A3B3IU50,NA,VPS13C
A0A3B3IU52,NA,HDAC8
A0A3B3IU53,NA,MSL3
A0A3B3IU54,NA,ANGEL1
A0A3B3IU56,NA,HMBS
A0A3B3IU60,NA,ITM2B
A0A3B3IU61,NA,GSTM5
A0A3B3IU62,NA,HDAC8
A0A3B3IU64,NA,MSL3
A0A3B3IU66,NA,MYT1L
A0A3B3IU68,NA,LMBRD1
A0A3B3IU69,NA,EML1
A0A3B3IU70,NA,KAT6B
A0A3B3IU71,NA,KAT6B
A0A3B3IU72,NA,CLCN1
A0A3B3IU75,NA,UROS
A0A3B3IU76,NA,LRBA
A0A3B3IU77,NA,GNAI1
A0A3B3IU78,NA,COPA
A0A3B3IU79,NA,ITGA2B
A0A3B3IU80,NA,MSL3
A0A3B3IU81,NA,MOGS
A0A3B3IU83,NA,MYT1L
A0A3B3IU84,NA,COPA
A0A3B3IU85,NA,PDE10A
A0A3B3IU87,NA,FANCC
A0A3B3IU89,NA,COPA
A0A3B3IU90,NA,WBP1L
A0A3B3IU91,NA,LMBRD1
A0A3B3IU93,NA,KAT6B
A0A3B3IU94,NA,AP5Z1
A0A3B3IU95,NA,CYP2J2
A0A3B3IU96,NA,SLC25A24
A0A3B3IU97,NA,SLC35D2
A0A3B3IU98,NA,IQSEC1
A0A3B3IU99,NA,LMBRD1
A0A3B3IUA1,NA,KIF1A
A0A3B3IUA2,NA,SNU13
A0A3B3IUA3,NA,L3MBTL1
A0A3B3IUA4,NA,KAT6B
A0A3B3IUA5,NA,ZNF385D
A0A3B3IUA6,NA,PROS1
A0A3B3IUA7,NA,TRIM25
A0A3B3IUA8,NA,GNAI1
A0A3B3IUB0,NA,MSL3
A0A3B3IUB1,NA,EIF2B5
A0A3B3IUB4,NA,OR10J3
A0A3B3IUB5,NA,HM13
A0A3B3IUB6,NA,FOXP1
A0A3B3IUB7,NA,DAB2IP
A0A3B3IUB9,NA,BIRC6
A0A3B3IUC0,NA,ITM2B
A0A3B3IUC1,NA,NEDD4
A0A3B3IUC2,NA,COL17A1
A0A3B3IUC3,NA,GPR158
A0A3B3IUC4,NA,GLA
A0A3B3IUC5,NA,BMPER
A0A3B3IUC7,NA,FBP1
A0A3B3IUC8,NA,UROS
A0A3B3IUC9,NA,AGK
A0A3B3IUD0,NA,COL4A1
A0A3B3IUD1,NA,HDAC8
A0A3B3IUD2,NA,MSTO1
A0A3B3IUD3,NA,FAM45A
A0A3B3IUD4,NA,S1PR1
A0A3B3IUD5,NA,QPCT
A0A3B3IUD6,NA,EPB41
A0A3B3IUD8,NA,CD3G
A0A3B3IUD9,NA,BMPER
A0A3B3IUE0,NA,IGFBP6
A0A3B3IUE2,NA,MYT1L
A0A3B3IUE7,NA,TXNRD3
A0A3B3IUF2,NA,EIF2B5
A0A3B3IUF8,NA,ARHGEF15
A0A3B3IUG0,NA,SGK2
A0A3B3IUG4,NA,WRB
A0A3B6XSH2,NA,GSTP1
A0A3B8E304,NA,RHD
A0A3F2YNW3,NA,C2orf15
A0A3F2YNW4,NA,ACD
A0A3F2YNW7,NA,ARID1B
A0A3F2YNW9,NA,KIF1A
A0A3F2YNX0,NA,SEC16A
A0A3F2YNX2,NA,MSL3
A0A3F2YNX6,NA,KAT6A
A0A3F2YNX7,NA,ENOSF1
A0A3F2YNX9,NA,MFSD14C
A0A3F2YNY6,NA,PRPF40A
A0A3F2YNY7,NA,HMBS
A0A3F2YNZ0,NA,SEC16A
A0A3F2YNZ1,NA,L3MBTL1
A0A3F2YP58,NA,PDE10A
A0A3F2YP66,NA,LMBRD1
A0A3G1CD75,NA,IL2RG
A0A3G1CIL2,NA,BRCA1
A0A3G1CIL4,NA,BRCA1
A0A3G1CIM0,NA,BRCA1
A0A3G1GJZ1,NA,HLA-B
A0A3G1GK56,NA,HLA-B
A0A3G1GLZ1,NA,DSPP
A0A3G1GLZ3,NA,DSPP
A0A3G1GLZ6,NA,DSPP
A0A3G1GT92,NA,DARC
A0A3G1GT99,NA,DARC
A0A3G1GTA5,NA,KIF1BP
A0A3G1I9E6,NA,FUT1
A0A3G1IRH3,NA,ND5
A0A3G1KLT7,NA,CFTR
A0A3G1LBG1,NA,SOS1
A0A3G1LBG2,NA,PTPN11
A0A3G1LBH1,NA,KRAS
A0A3G1LEI2,NA,NSD1
A0A3G1NJS2,NA,FUT1
A0A3G1T4K9,NA,CAST
A0A3G1VCY4,NA,DIVA
A0A3G1VCY6,NA,FSHR1
A0A3G1VCY7,NA,FRZB
A0A3G1VCY8,NA,ESR1
A0A3G1VCZ6,NA,FSHR1
A0A3G1VFM0,NA,HLA-A
A0A3G1YZN7,NA,HLA-DQB1
A0A3G1YZP3,NA,HLA-DQB1
A0A3G1YZQ6,NA,HLA-DQB1
A0A3G1Z2Q6,NA,HLA-A
A0A3G2BA53,NA,HLA-C
A0A3G2BA82,NA,DQB1
A0A3G2C0L7,NA,HLA-F
A0A3G2C3N5,NA,PIK3CA
A0A3G2C3P2,NA,AR
A0A3G2CJ08,NA,GAEC1
A0A3G2CJ10,NA,HLA-DQB1
A0A3G2CJ48,NA,HLA-DRB1
A0A3G2FPC8,NA,HLA-B
A0A3G2FPD9,NA,HLA-A
A0A3G2FPE3,NA,HLA-DPB1
A0A3G2FPF6,NA,HLA-B
A0A3G2FPG1,NA,RHAG
A0A3G2FPS8,NA,HLA-B
A0A3G2FPW9,NA,HLA-B
A0A3G2FQ21,NA,HLA-DPB1
A0A3G2FQ68,NA,HLA-DQB1
A0A3G2FQP1,NA,HLA-A
A0A3G2I6J1,NA,HLA-DQB1
A0A3G2I6K2,NA,HLA-B
A0A3G2I6N7,NA,HLA-DQB1
A0A3G2I732,NA,HLA-C
A0A3G2I7B1,NA,HLA-DQB1
A0A3G2JNR5,NA,CDH1
A0A3G2JP23,NA,HLA-C
A0A3G2JRR0,NA,HLA-B
A0A3G2KJS0,NA,ACKR1
A0A3G2KQ93,NA,PHB2
A0A3G2LMJ8,NA,CD59
A0A3G2LML8,NA,HLA-B
A0A3G2LMM0,NA,HLA-B
A0A3G2LMN0,NA,ELOVL1
A0A3G2LMN9,NA,DQB1
A0A3G2LN25,NA,HLA-DPB1
A0A3G2LNM6,NA,RHCE
A0A3G2LNN1,NA,RHD
A0A3G2LNR6,NA,RHD
A0A3G2LR08,NA,GYPB
A0A3G2LR13,NA,GYPB
A0A3G2LR19,NA,GYPB
A0A3G2LWP4,NA,HLA-A
A0A3G2LWQ2,NA,DQB1
A0A3G2LWQ6,NA,HLA-A
A0A3G2LWR5,NA,HLA-B
A0A3G2LWS1,NA,DQB1
A0A3G2LWT1,NA,HLA-C
A0A3G2LWU0,NA,HLA-A
A0A3G2LWW4,NA,HLA-B
A0A3G2LZB3,NA,HLA-G
A0A3G2M2G2,NA,KEL
A0A3G2M3W7,NA,ND5
A0A3G2M3Z8,NA,ND4
A0A3G2M4B4,NA,CYTB
A0A3G2SV85,NA,RHD
A0A3G2WH74,NA,HLA-G
A0A3G2WIG3,NA,FUT1
A0A3G2WJ85,NA,SERPINF2
A0A3G2Y3Q4,NA,HLA-DQB1
A0A3G2Y4K4,NA,HLA-A
A0A3G2YUZ1,NA,HLA-C
A0A3G2YUZ4,NA,HLA-B
A0A3G2YUZ9,NA,HLA-C
A0A3G2YV06,NA,HLA-C
A0A3G2YV10,NA,HLA-B
A0A3G2YV77,NA,HLA-C
A0A3G3C0Z1,NA,HLA-G
A0A3G3C199,NA,HLA-DRB3
A0A3G3C1L8,NA,HLA-B
A0A3G3C8U8,NA,ND1
A0A3G3NG95,NA,HLA-Cw
A0A3G4IRE2,NA,HLA-DRB3
A0A3G4IRP9,NA,HLA-DQB1
A0A3G4ISB2,NA,HLA-A
A0A3G4R1E9,NA,HLA-C
A0A3G4R8Q2,NA,HLA-C
A0A3G4R8Q6,NA,HLA-A
A0A3G4R8Q7,NA,HLA-A
A0A3G4R8Q8,NA,HLA-C
A0A3G4R8Q9,NA,HLA-B
A0A3G4RIH4,NA,HLA-C
A0A3G4S7Y5,NA,MICB
A0A3G4WBS4,NA,DRB3
A0A3G4YSB6,NA,HLA-C
A0A3G4YSC1,NA,HLA-DRB3
A0A3G4YSC4,NA,HLA-B
A0A3G5AJ89,NA,TG
A0A3G5AJB3,NA,DUOX2
A0A3G5ASN7,NA,CYTB
A0A3G5ASV1,NA,CYTB
A0A3G5ASZ0,NA,ND5
A0A3G5ATA1,NA,CYTB
A0A3G5ATG7,NA,ND2
A0A3G5ATK3,NA,COX1
A0A3G5ATT1,NA,ND1
A0A3G5AU08,NA,CYTB
A0A3G5AU89,NA,ND1
A0A3G5AUD6,NA,ATP6
A0A3G5AUZ2,NA,ND2
A0A3G5AXY7,NA,HBB
A0A3G5BD28,NA,HLA-DPB1
A0A3G5BD29,NA,HLA-DQB1
A0A3G5BD30,NA,HLA-DPB1
A0A3G5BD31,NA,HLA-C
A0A3G5BD32,NA,HLA-A
A0A3G5BD33,NA,HLA-A
A0A3G5BD36,NA,HLA-A
A0A3G5BD37,NA,HLA-A
A0A3G5BD46,NA,HLA-A
A0A3G5BVM4,NA,CYTB
A0A3G5BVR3,NA,ND6
A0A3G5BX83,NA,COX3
A0A3G5BY18,NA,CYTB
A0A3G5BY72,NA,ND1
A0A3G5BYC2,NA,ND1
A0A3G5BYM1,NA,ND2
A0A3G5BZA8,NA,ND3
A0A3G5BZH9,NA,COX1
A0A3G5BZL8,NA,ATP6
A0A3G5BZV2,NA,ATP6
A0A3G5BZX3,NA,ND1
A0A3G5C006,NA,ND1
A0A3G5C008,NA,CYTB
A0A3G5C023,NA,ND1
A0A3G5C0M8,NA,COX1
A0A3G5C150,NA,CYTB
A0A3G5C1I4,NA,ND5
A0A3G5C3H0,NA,ATP6
A0A3G5C3Z8,NA,ND1
A0A3G5C483,NA,COX1
A0A3G5C5M0,NA,COX1
A0A3G5C665,NA,ATP6
A0A3G5C7L7,NA,ND5
A0A3G5C8M4,NA,CYTB
A0A3G5C8Q8,NA,ND5
A0A3G5C9W2,NA,ND5
A0A3G5CAS1,NA,ND2
A0A3G5CB78,NA,ATP6
A0A3G5CBK2,NA,ND1
A0A3G5CC12,NA,ND1
A0A3G5CCE6,NA,ATP6
A0A3G5CDK8,NA,ATP6
A0A3G5CE96,NA,ND5
A0A3G5CEC5,NA,ATP6
A0A3G5CES9,NA,CYTB
A0A3G5CGA0,NA,ND5
A0A3G5EAD2,NA,HLA-C
A0A3G5ECL4,NA,KLF1
A0A3G5ED38,NA,HLA-DQ3
A0A3G5EDE2,NA,HLA-B
A0A3G6II08,NA,HLA-C
A0A3G6II09,NA,HLA-B
A0A3G6II41,NA,HLA-A
A0A3G6IIS6,NA,HLA-A
A0A3G6ILP0,NA,HLA-A
A0A3G6IN32,NA,HLA-C
A0A3G6INB2,NA,HLA-C
A0A3G6IRF1,NA,HLA-C
A0A3G6IW09,NA,HLA-DPB1
A0A3G6V326,NA,SMN1
A0A3G6V344,NA,SMN1
A0A3G6V369,NA,HLA-A
A0A3G6V3P1,NA,SMN2
A0A3G6V3S4,NA,HLA-C
A0A3G6V4Y6,NA,SMN1
A0A3G6V5V8,NA,HLA-A
A0A3G6V5W2,NA,SMN2
A0A3G6V6Q6,NA,SMN1
A0A3G6V6Y8,NA,HLA-A
A0A3G6V713,NA,SMN2
A0A3G6VDW8,NA,POLG
A0A3G6VDX0,NA,POLG
A0A3G6VDX4,NA,POLG
A0A3G6VDX6,NA,POLG
A0A3G6VDY0,NA,POLG
A0A3G6VF52,NA,DAB1
A0A3G6VF62,NA,HLA-B
A0A3G6ZHN8,NA,DQB1
A0A3G6ZHQ1,NA,DQB1
A0A3G7QD59,NA,HLA-C
A0A3G8EW18,NA,COX3
A0A3G8EYN9,NA,ND5
A0A3G9CLN8,NA,hbb
A0A3G9CMV0,NA,DLG1
A0A3G9CMW0,NA,DLG1
A0A3G9H9G9,NA,HLA-A
A0A3G9H9M4,NA,HLA-A
A0A3G9HKA4,NA,HLA-A
A0A3G9HRF1,NA,HLA-A
A0A3G9I8L5,NA,ATP6
A0A3G9IAD1,NA,mtATP6
A0A3G9IAD7,NA,mtATP6
A0A3G9IAW8,NA,mtATP6
A0A3G9IBN6,NA,mtATP6
A0A3G9IPY2,NA,mtATP6
A0A3G9IU23,NA,mtATP6
A0A3G9IUV3,NA,ATP6
A0A3G9IWP6,NA,ATP6
A0A3G9IWZ4,NA,mtATP6
A0A3G9IY71,NA,mtATP6
A0A3G9JU11,NA,HLA-C
A0A3P3YW38,NA,DO
A0A3P3YW42,NA,DO
A0A3P3YW51,NA,RHD
A0A3P3YW79,NA,DO
A0A3P3YWC4,NA,DO
A0A3P3YWC5,NA,DO
A0A3P3YWF0,NA,DO
A0A3P3YWG5,NA,HLA-C
A0A3P3YWJ5,NA,DO
A0A3P3ZJX7,NA,DO
A0A3P3ZK47,NA,HLA-B
A0A3P3ZK50,NA,HLA-DRB1
A0A3P3ZKQ3,NA,HLA-C
A0A3P3ZKU3,NA,HLA-B
A0A3P6MY46,NA,HLA-C
A0A3P8KD85,NA,HLA-DQB1
A0A3P8KQW1,NA,HLA-B
A0A3P9MRF3,NA,MTRR
A0A3Q5ACI7,NA,LTB4R2
A0A3Q5AD24,NA,ZNF665
A0A3Q5ADB5,NA,PRR12
A0A3Q7ZYN3,NA,DDC
A0A3Q7ZYN9,NA,RNASEK
A0A3Q7ZZY9,NA,DDC
A0A3Q7ZZZ2,NA,DDC
A0A3Q7ZZZ6,NA,RNASEK
A0A3Q7ZZZ7,NA,DDC
A0A3Q8A018,NA,DDC
A0A3Q8A0Y4,NA,ND5
A0A3Q8A110,NA,ATP6
A0A3Q8A152,NA,ND5
A0A3Q8A192,NA,ND5
A0A3Q8A2K4,NA,DDC
A0A3Q8A2L5,NA,DDC
A0A3Q8A2M4,NA,DDC
A0A3Q8A2N0,NA,DDC
A0A3Q8A3J3,NA,ND5
A0A3Q8A468,NA,CYTB
A0A3Q8A4R9,NA,ND5
A0A3Q8A541,NA,CYTB
A0A3Q8A5P0,NA,ND5
A0A3Q8A5S1,NA,ND5
A0A3Q8A5W0,NA,ND5
A0A3Q8A5Z2,NA,COX2
A0A3Q8A683,NA,COX1
A0A3Q8A6A9,NA,ND4
A0A3Q8A6C1,NA,CYTB
A0A3Q8A6E7,NA,CYTB
A0A3Q8AIR8,NA,PRMT1
A0A3Q8AIS2,NA,PRMT1
A0A3Q8AIS5,NA,PRMT1
A0A3Q8AIS8,NA,PRMT1
A0A3Q8AM22,NA,PRMT1
A0A3Q8AM27,NA,PRMT1
A0A3Q8APW9,NA,PRMT1
A0A3Q8APX7,NA,PRMT1
A0A3Q8APY3,NA,PRMT1
A0A3Q8ATF5,NA,PRMT1
A0A3Q8ATG4,NA,PRMT1
A0A3Q8AX88,NA,PRMT1
A0A3Q8AX95,NA,PRMT1
A0A3Q8B022,NA,PRMT1
A0A3Q8B027,NA,PRMT1
A0A3Q8B032,NA,PRMT1
A0A3Q8B178,NA,MUC16
A0A3Q8B4M4,NA,PRMT1
A0A3Q8B4N0,NA,PRMT1
A0A3Q8B9M1,NA,PRMT1
A0A3Q8B9M7,NA,PRMT1
A0A3Q8BCI7,NA,PRMT1
A0A3Q8BCJ2,NA,PRMT1
A0A3Q8BCJ8,NA,KLK14
A0A3Q8BT41,NA,RHD
A0A3Q8I5V1,NA,ACKR1
A0A3Q8LVM3,NA,HLA-DRB3
A0A3Q8PZA0,NA,TLR4
A0A3Q8Q6A3,NA,HLA-C
A0A3Q8QC73,NA,TP53
A0A3Q8QDV2,NA,ctyb
A0A3Q8QQP6,NA,ND1
A0A3Q8QR27,NA,CYTB
A0A3Q8QU87,NA,CYTB
A0A3Q8QV40,NA,ND1
A0A3Q8QWA8,NA,ATP8
A0A3Q8QWL8,NA,ND4
A0A3Q8QX02,NA,ATP8
A0A3Q8QX25,NA,ND5
A0A3Q8QX26,NA,COX3
A0A3Q8QX49,NA,COX1
A0A3Q8QXD1,NA,ND5
A0A3Q8QYI5,NA,COX3
A0A3Q8QZL4,NA,ATP6
A0A3Q8R026,NA,ND1
A0A3Q8R0B3,NA,ATP6
A0A3Q8R0T0,NA,ND2
A0A3Q8R159,NA,COX2
A0A3Q8R2B1,NA,ND6
A0A3Q8SLM5,NA,HLA-B
A0A3Q8TK85,NA,DQB1
A0A3Q8TKD6,NA,HLA-B
A0A3Q8TLE1,NA,CD59
A0A3Q8TLG1,NA,DQB1
A0A3Q8TLI9,NA,DRB1
A0A3Q8TMK3,NA,DPB1
A0A3Q8TMU7,NA,MUC6
A0A3Q8TNE4,NA,COI
A0A3Q8TNE7,NA,COI
A0A3Q8TNI2,NA,COI
A0A3Q8TNJ6,NA,COI
A0A3Q8TNK2,NA,COI
A0A3Q8U713,NA,HLA-B
A0A3Q8U714,NA,HLA-A
A0A3Q8UCB1,NA,BRCA1
A0A3Q8UFB0,NA,COX2
A0A3Q8UFX6,NA,ATP8
A0A3Q8UFZ6,NA,ND4L
