uniprot,biogrid
O94915,130134
O94916,115949
O94919,116689
O94921,111239
O94923,117501
O94925,109006
O94927,116936
O94929,116552
O94933,116533
O94941,116554
O94952,116656
O94953,116669
O94955,116510
O94956,116442
O94964,126666
O94966,116078
O94967,116574
O94972,110678
O94973,106670
O94979,116539
O94983,116744
O94985,116550
O94986,116642
O94988,115447
O94989,116563
O94991,117513
O94992,115860
O94993,116247
O95006,126444
O95007,126443
O95025,128826
O95045,127387
O95049,118025
O95050,116355
O95057,127135
O95059,116283
O95067,114581
O95070,116103
O95071,119501
O95072,115306
O95073,117321
O95076,106755
O95081,109504
O95084,116279
O95096,110886
O95104,121536
O95125,113537
O95136,114708
O95139,110792
O95140,115255
O95147,116255
O95149,115384
O95150,115291
O95153,114680
O95154,116626
O95155,115566
O95156,116410
O95157,116409
O95158,116408
O95159,113374
O95163,114090
O95164,111413
O95166,116465
O95167,110776
O95168,110790
O95169,110794
O95171,114324
O95178,110788
O95180,114426
O95182,110781
O95183,116007
O95185,114186
O95190,111001
O95196,115917
O95197,115598
O95198,116431
O95199,107527
O95201,113539
O95202,110145
O95206,111133
O95208,116569
O95210,114469
O95214,117042
O95218,114802
O95219,114262
O95221,130779
O95222,114155
O95229,116303
O95231,118111
O95232,119710
O95235,115418
O95237,114658
O95238,117335
O95239,117288
O95243,114444
O95248,112212
O95249,114903
O95251,116315
O95255,106863
O95256,114335
O95257,116117
O95258,114485
O95259,109958
O95260,116282
O95263,114177
O95267,115429
O95271,114207
O95273,117117
O95274,117985
O95278,113679
O95279,114197
O95292,114650
O95294,114017
O95295,117101
O95297,114486
O95298,110798
O95299,110785
O95302,116456
O95319,115902
O95336,117328
O95340,114521
O95342,114199
O95343,112387
O95347,115841
O95352,115787
O95359,115830
O95361,115870
O95363,115909
O95365,119488
O95372,116444
O95373,115782
O95376,115694
O95377,108974
O95379,117344
O95382,114524
O95388,114367
O95389,114365
O95390,115515
O95391,115820
O95393,118125
O95394,111257
O95395,114671
O95396,118127
O95398,115682
O95399,116116
O95400,115690
O95402,114831
O95405,114773
O95406,115476
